SHITOMASI_BRIEF,SHITOMASI_ORB,SHITOMASI_FREAK,SHITOMASI_SIFT,HARRIS_BRIEF,HARRIS_ORB,HARRIS_FREAK,HARRIS_SIFT,FAST_BRIEF,FAST_ORB,FAST_FREAK,FAST_SIFT,BRISK_BRIEF,BRISK_ORB,BRISK_FREAK,BRISK_SIFT,ORB_BRIEF,ORB_ORB,ORB_FREAK,ORB_SIFT,AKAZE_AKAZE,SIFT_BRIEF,SIFT_FREAK,SIFT_SIFT
14.675606,13.874319,16.942561,,,,9.749526,,12.619763,10.655392,13.075512,13.606274,14.488548,21.979186,12.348305,13.794482,15.228417,12.207445,12.235931,14.858694,13.9503,12.252147,11.263833,11.386795
14.67682,13.889013,12.9278,,,,,,12.670212,10.791184,13.075512,13.650614,14.592343,21.851591,12.342216,13.821468,15.228417,12.207445,12.235931,15.032572,13.9503,12.158752,11.299582,11.52852
12.386591,12.535003,11.574449,12.823594,35.383263,13.643206,13.190481,35.383263,13.34593,13.215393,11.336449,15.02777,32.087699,28.636491,23.876634,26.430499,30.419429,29.332564,,84.538935,16.462302,13.219667,15.163332,12.478389
15.304941,13.178769,12.049258,13.616821,17.620382,17.620382,12.91621,10.043305,13.22189,11.874314,12.650896,11.110241,23.15519,16.828862,15.446334,13.728909,,,,127.591015,15.297868,15.510923,14.414755,13.573451
12.084728,11.920921,13.29468,12.965448,,,10.293108,,12.633196,12.376496,10.763948,14.193149,18.453142,16.069143,19.572964,16.76482,34.629764,,8.456254,10.745313,19.383621,16.410262,13.187408,14.693723
12.628459,13.922023,11.783678,13.359891,11.155164,11.670231,11.74143,,12.9,12.670212,12.670212,10.833567,16.31266,11.455467,13.997649,14.671148,99.855222,,,,13.392964,10.124133,11.365715,11.295893
11.850671,11.780525,11.81256,11.352811,,11.694809,,5.606097,12.245063,12.396152,11.258069,11.845084,19.973888,13.970295,14.840873,13.400676,58.757868,6.850486,6.829547,7.861522,13.495551,13.606759,13.211493,11.288742
11.764227,11.571182,12.1906,11.652406,5.660966,6.069839,12.287985,,11.953581,12.706674,12.609204,10.771462,16.750646,13.60964,12.291121,11.770085,11.898098,,54.309839,,11.180924,10.138168,14.157461,11.407772
11.355696,10.844845,11.630902,9.738949,-13.626283,-14.780816,,6.637596,10.30282,10.895543,11.607725,10.941102,13.286045,12.155552,11.400651,10.975205,8.914653,,8.993164,13.764305,11.863091,11.105426,9.779936,10.575374
12.198262,10.400957,10.76239,10.692128,6.764096,6.717055,6.657258,,11.545917,10.766025,10.017691,10.328681,11.216074,11.46512,13.802876,13.398865,8.342356,,8.427143,8.287682,14.510652,10.086731,8.987051,10.073156
8.239608,8.178531,10.577699,10.568704,12.584845,12.584845,12.584845,,10.419414,10.290784,10.764604,11.262462,15.402513,14.027348,10.196172,11.045173,9.265586,,7.589516,9.813886,11.834897,9.222541,8.724386,9.052667
11.138191,9.689062,10.667653,12.639071,12.838133,,25.676266,,9.0526,10.422601,7.202199,11.713617,11.913863,10.142342,9.199431,11.200859,11.181412,12.885296,7.027865,17.467505,11.423089,9.597265,9.121418,8.691858
8.430966,7.748478,,10.951208,,,,,11.413974,11.178878,10.710055,12.912064,16.165415,11.44932,10.649798,12.663932,11.795208,8.73235,8.73235,14.211082,11.134267,11.944188,9.408222,8.923704
